frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
268,8917.1,34,497,292,,,,,,,,,,,,,,,
269,8953.1,31,499,273,,,,,,,,,,,,,,,
270,8984.6,30,496,264,,,,,,,,,,,,,,,
271,9016.6,30,493,269,,,,,,,,,,,,,,,
272,9052.7,32,490,284,,,,,,,,,,,,,,,
273,9085.1,33,488,309,,,,,,,,,,,,,,,
274,9116.9,32,487,341,,,,,,,,,,,,,,,
275,9153.5,32,486,374,,,,,,,,,,,,,,,
276,9184.9,32,486,408,,,,,,,,,,,,,,,
277,9223,31,483,436,,,,,,,,,,,,,,,
278,9253.2,30,483,456,,,,,,,,,,,,,,,
279,9284.9,28,484,464,,,,,,,,,,,,,,,
280,9316.9,29,483,459,,,,,,,,,,,,,,,
281,9356.8,31,483,443,,,,,,,,,,,,,,,
282,9385.1,33,485,416,,,,,,,,,,,,,,,
283,9416.9,33,486,381,,,,,,,,,,,,,,,
284,9452.7,34,487,346,,,,,,,,,,,,,,,
285,9484.9,34,491,312,,,,,,,,,,,,,,,
286,9516.7,32,489,286,,,,,,,,,,,,,,,
287,9556.6,30,491,270,,,,,,,,,,,,,,,
288,9588.8,29,493,265,,,,,,,,,,,,,,,
289,9617.4,30,495,274,,,,,,,,,,,,,,,
290,9653,32,495,292,,,,,,,,,,,,,,,
291,9684.9,32,498,319,,,,,,,,,,,,,,,
292,9718.8,33,501,352,,,,,,,,,,,,,,,
293,9760.2,32,500,386,,,,,,,,,,,,,,,
294,9786,32,502,418,,,,,,,,,,,,,,,
295,9817,30,503,444,,,,,,,,,,,,,,,
296,9852.6,30,504,460,,,,,,,,,,,,,,,
297,9884.8,29,505,463,,,,,,,,,,,,,,,
298,9916.9,30,505,455,,,,,,,,,,,,,,,
299,9953.8,33,504,433,,,,,,,,,,,,,,,
300,9984.7,34,504,402,,,,,,,,,,,,,,,
301,10020.8,34,502,367,,,,,,,,,,,,,,,
302,10052.9,34,504,330,,,,,,,,,,,,,,,
303,10085,34,501,299,,,,,,,,,,,,,,,
304,10117,31,501,279,,,,,,,,,,,,,,,
305,10152.8,30,499,266,,,,,,,,,,,,,,,
306,10184.7,29,498,266,,,,,,,,,,,,,,,
307,10216.9,30,497,279,,,,,,,,,,,,,,,
308,10253,33,492,299,,,,,,,,,,,,,,,
309,10284.8,33,490,329,,,,,,,,,,,,,,,
310,10317,31,492,364,,,,,,,,,,,,,,,
311,10353.1,33,487,397,,,,,,,,,,,,,,,
