frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
329,10947.5,31,515,704,,,,,,,,,,,,,,,
330,10979.7,32,514,684,,,,,,,,,,,,,,,
331,11011.8,32,514,663,,,,,,,,,,,,,,,
332,11047.6,32,510,641,,,,,,,,,,,,,,,
333,11079.5,31,510,622,,,,,,,,,,,,,,,
334,11111.7,31,507,603,,,,,,,,,,,,,,,
335,11147.8,30,508,589,,,,,,,,,,,,,,,
336,11179.3,29,506,578,,,,,,,,,,,,,,,
337,11211.5,29,504,572,,,,,,,,,,,,,,,
338,11248,29,503,571,,,,,,,,,,,,,,,
339,11279.2,29,501,576,,,,,,,,,,,,,,,
340,11311.6,30,500,585,,,,,,,,,,,,,,,
341,11347.2,31,497,598,,,,,,,,,,,,,,,
342,11379.4,31,497,615,,,,,,,,,,,,,,,
343,11411.4,32,494,633,,,,,,,,,,,,,,,
344,11447.6,31,494,654,,,,,,,,,,,,,,,
345,11479.6,32,493,675,,,,,,,,,,,,,,,
346,11511.9,31,494,696,,,,,,,,,,,,,,,
347,11547.5,31,494,714,,,,,,,,,,,,,,,
348,11579.3,30,495,729,,,,,,,,,,,,,,,
349,11611.4,30,497,741,,,,,,,,,,,,,,,
350,11647.9,29,498,747,,,,,,,,,,,,,,,
351,11679.4,29,500,749,,,,,,,,,,,,,,,
352,11715.1,30,502,745,,,,,,,,,,,,,,,
353,11748.1,30,503,737,,,,,,,,,,,,,,,
354,11779.4,31,505,723,,,,,,,,,,,,,,,
355,11811.4,31,509,706,,,,,,,,,,,,,,,
356,11847.3,32,510,686,,,,,,,,,,,,,,,
357,11883.2,32,512,664,,,,,,,,,,,,,,,
358,11911.7,32,515,643,,,,,,,,,,,,,,,
359,11947.3,32,517,622,,,,,,,,,,,,,,,
360,11979,31,520,604,,,,,,,,,,,,,,,
361,12011.6,30,522,589,,,,,,,,,,,,,,,
362,12047.8,29,524,579,,,,,,,,,,,,,,,
363,12079.2,28,526,572,,,,,,,,,,,,,,,
364,12111.4,28,527,571,,,,,,,,,,,,,,,
365,12147.2,29,527,575,,,,,,,,,,,,,,,
366,12179.3,29,527,583,,,,,,,,,,,,,,,
367,12211.5,30,528,596,,,,,,,,,,,,,,,
368,12247.2,30,528,613,,,,,,,,,,,,,,,
369,12280.8,31,526,631,,,,,,,,,,,,,,,
370,12311.9,31,526,652,,,,,,,,,,,,,,,
371,12347.2,31,526,673,,,,,,,,,,,,,,,
372,12379.9,31,524,693,,,,,,,,,,,,,,,
373,12415.8,30,522,712,,,,,,,,,,,,,,,
374,12447.6,30,521,728,,,,,,,,,,,,,,,
375,12479.8,29,519,739,,,,,,,,,,,,,,,
376,12511.5,30,517,746,,,,,,,,,,,,,,,
377,12547.5,29,515,749,,,,,,,,,,,,,,,
378,12579.4,30,512,745,,,,,,,,,,,,,,,
379,12611.3,30,510,737,,,,,,,,,,,,,,,
380,12647.5,31,508,725,,,,,,,,,,,,,,,
381,12679.5,31,507,707,,,,,,,,,,,,,,,
382,12711.3,33,505,688,,,,,,,,,,,,,,,
383,12747.8,33,504,667,,,,,,,,,,,,,,,
384,12781.1,32,502,645,,,,,,,,,,,,,,,
385,12811.9,32,502,625,,,,,,,,,,,,,,,
386,12847.9,31,501,607,,,,,,,,,,,,,,,
387,12880.2,31,500,591,,,,,,,,,,,,,,,
388,12911.5,30,501,580,,,,,,,,,,,,,,,
389,12947.5,29,501,573,,,,,,,,,,,,,,,
390,12979.7,29,501,572,,,,,,,,,,,,,,,
391,13011.5,29,501,576,,,,,,,,,,,,,,,
392,13047.2,29,502,584,,,,,,,,,,,,,,,
393,13079.1,30,502,596,,,,,,,,,,,,,,,
394,13111.7,31,502,612,,,,,,,,,,,,,,,
395,13147.5,31,505,631,,,,,,,,,,,,,,,
396,13179.1,32,506,651,,,,,,,,,,,,,,,
397,13211.5,31,507,671,,,,,,,,,,,,,,,
398,13247.3,31,510,691,,,,,,,,,,,,,,,
399,13279.4,31,511,710,,,,,,,,,,,,,,,
400,13311.4,30,512,725,,,,,,,,,,,,,,,
401,13347.4,30,515,737,,,,,,,,,,,,,,,
402,13379.4,29,518,745,,,,,,,,,,,,,,,
403,13412,29,520,747,,,,,,,,,,,,,,,
404,13448.4,29,523,744,,,,,,,,,,,,,,,
405,13481.2,30,523,737,,,,,,,,,,,,,,,
406,13511.8,31,527,724,,,,,,,,,,,,,,,
407,13547.2,31,529,707,,,,,,,,,,,,,,,
408,13579.2,32,529,689,,,,,,,,,,,,,,,
409,13615.9,32,529,667,,,,,,,,,,,,,,,
410,13647.4,32,529,646,,,,,,,,,,,,,,,
411,13680,31,530,625,,,,,,,,,,,,,,,
412,13715.7,30,531,607,,,,,,,,,,,,,,,
413,13747.9,30,532,592,,,,,,,,,,,,,,,
414,13779.1,29,532,580,,,,,,,,,,,,,,,
415,13812.1,29,531,573,,,,,,,,,,,,,,,
416,13847.7,29,530,571,,,,,,,,,,,,,,,
417,13879.3,28,529,575,,,,,,,,,,,,,,,
418,13911.2,30,528,583,,,,,,,,,,,,,,,
419,13947.5,30,525,595,,,,,,,,,,,,,,,
420,13979.8,30,523,610,,,,,,,,,,,,,,,
421,14011.9,30,521,629,,,,,,,,,,,,,,,
422,14047.7,31,519,649,,,,,,,,,,,,,,,
423,14079.7,32,517,671,,,,,,,,,,,,,,,
424,14111.8,31,516,691,,,,,,,,,,,,,,,
425,14147.7,32,513,709,,,,,,,,,,,,,,,
426,14179.5,31,513,727,,,,,,,,,,,,,,,
427,14212.2,30,510,738,,,,,,,,,,,,,,,
428,14247.2,29,509,746,,,,,,,,,,,,,,,
429,14279.1,29,508,749,,,,,,,,,,,,,,,
430,14311.5,29,506,747,,,,,,,,,,,,,,,
431,14347.1,30,505,739,,,,,,,,,,,,,,,
432,14379.1,31,506,727,,,,,,,,,,,,,,,
433,14411.7,32,505,710,,,,,,,,,,,,,,,
434,14447.4,32,505,691,,,,,,,,,,,,,,,
435,14479.5,32,505,670,,,,,,,,,,,,,,,
436,14511.2,32,506,649,,,,,,,,,,,,,,,
437,14547.4,31,507,628,,,,,,,,,,,,,,,
438,14579.2,31,508,609,,,,,,,,,,,,,,,
439,14611.4,30,511,593,,,,,,,,,,,,,,,
440,14647.2,30,512,581,,,,,,,,,,,,,,,
441,14679.2,29,514,574,,,,,,,,,,,,,,,
442,14711.5,28,516,572,,,,,,,,,,,,,,,
443,14747.2,28,517,575,,,,,,,,,,,,,,,
444,14780,29,519,582,,,,,,,,,,,,,,,
445,14811.6,30,520,594,,,,,,,,,,,,,,,
446,14851.9,30,521,608,,,,,,,,,,,,,,,
447,14879.3,30,522,627,,,,,,,,,,,,,,,
448,14911.5,31,524,647,,,,,,,,,,,,,,,
449,14947.5,31,525,667,,,,,,,,,,,,,,,
450,14979.8,31,526,687,,,,,,,,,,,,,,,
451,15011.8,30,527,706,,,,,,,,,,,,,,,
452,15047.2,30,528,722,,,,,,,,,,,,,,,
453,15079.1,29,529,735,,,,,,,,,,,,,,,
454,15111.7,29,531,743,,,,,,,,,,,,,,,
455,15148,29,531,747,,,,,,,,,,,,,,,
456,15179.3,29,530,745,,,,,,,,,,,,,,,
457,15213.8,29,530,738,,,,,,,,,,,,,,,
458,15247.6,31,528,725,,,,,,,,,,,,,,,
459,15279.4,31,529,710,,,,,,,,,,,,,,,
460,15314,32,526,691,,,,,,,,,,,,,,,
461,15347.7,31,525,671,,,,,,,,,,,,,,,
462,15381.9,31,526,650,,,,,,,,,,,,,,,
463,15411.4,31,523,630,,,,,,,,,,,,,,,
464,15447.9,31,521,610,,,,,,,,,,,,,,,
465,15479.4,30,521,595,,,,,,,,,,,,,,,
466,15517.2,29,519,583,,,,,,,,,,,,,,,
467,15547.8,29,517,575,,,,,,,,,,,,,,,
468,15579.2,29,516,572,,,,,,,,,,,,,,,
469,15611.7,29,515,575,,,,,,,,,,,,,,,
470,15647.6,30,512,582,,,,,,,,,,,,,,,
471,15679.3,30,511,594,,,,,,,,,,,,,,,
472,15711.8,31,509,609,,,,,,,,,,,,,,,
473,15747.5,31,508,627,,,,,,,,,,,,,,,
474,15779.5,31,507,646,,,,,,,,,,,,,,,
475,15812.2,31,506,668,,,,,,,,,,,,,,,
476,15847.7,31,506,688,,,,,,,,,,,,,,,
